Reference,Value,MPN,Footprint,CAD X mm,CAD Y mm (down-positive),KiCad rotation degrees,Side,Assembly,Datasheet,Notes
C5,100u,ECEA1CKA101,KK_Main:KA_100u_Flat,51.55,93.25,90.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
C6,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,67.5,90.27,90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C7,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,25.0,45.73,-90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C8,100n,C315C104K5R5TA,KK_Main:KEMET_C315_P2p54,10.0,33.73,-90.0,Bottom,THT/mixed,https://yageogroup.com/download/specsheet/C315C104K5R5TA,
C9,10u,ECEA1CKA100,KK_Main:KA_10u_Flat,10.27,39.45,180.0,Bottom,THT/mixed,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1050.pdf,"16V Panasonic KA-A, body horizontal on 0.5mm insulating support. Form leads with support at seal. Square pad 1 = positive. Maximum can envelope D6.8 x L8mm (100u) or D4.5 x L8mm (10u)."
D1,TSAL6200,TSAL6200,KK_Main:TSAL6200_C5_EdgeFormed,17.725,8.0,0.0,Bottom,THT/mixed,https://www.vishay.com/docs/81010/tsal6200.pdf,C.5 rear top-facing formed leads: nominal lens axis 5mm off rear PCB. Verify optical direction and lead form.
D2,1N5819,1N5819-E3/54,KK_Main:1N5819_DO41,23.5,91.92,-90.0,Bottom,THT/mixed,https://www.vishay.com/docs/88525/1n5817.pdf,
D3,RGB mood / common anode,WP154A4SEJ3VBDZGW/CA,KK_Main:RGB_CA_5mm_Socketed,80.0,30.81,90.0,Top,THT/mixed,https://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf,"C.6: Sullins PPTC041LFBN-RC socket, formed LED leads at 2.54mm. Actual lead retention qualification required. 1=R, 2=A+, 3=B, 4=G."
J1,SYS_IN / JST-XH,B4B-XH-A(LF)(SN),KK_Main:JST_XH_B4B_4,53.25,100.525,0.0,Bottom,THT/mixed,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,4-rail-interface pins include ground; future supply must sequence rails together
J2,XIITIA TFT header,PPTC081LFBN-RC,KK_Main:Sullins_PPTC081_LFB,26.0,42.39,180.0,Top,THT/mixed,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf,Display module B0DFWL25RB is a separate assembly item
J3,GODIYMODULES SD,PPTC061LFBN-RC,KK_Main:Sullins_PPTC061_LFB,75.5,52.0,0.0,Bottom,THT/mixed,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf,SD module B0F82XWT4F is a separate assembly item
J4,LCM0827A3038F motor,B2B-PH-K-S(LF)(SN),KK_Main:JST_PH_B2B_2,17.0,100.55,0.0,Bottom,THT/mixed,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,C.5 top-entry connector: mating plug inserts perpendicular to rear PCB.
J5,8 ohm speaker,B2B-PH-K-S(LF)(SN),KK_Main:JST_PH_B2B_2,37.0,100.55,0.0,Bottom,THT/mixed,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,C.5 top-entry connector: mating plug inserts perpendicular to rear PCB.
MOD1,ESP32-S3 SuperMini,Teyleten B0D47HBFDY,KK_Main:ESP32-S3-SuperMini,48.0,17.4,0.0,Bottom,THT/mixed,https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf,Carrier pad numbering/voltage path requires delivered-module qualification
Q1,KSP2222ABU,KSP2222ABU,KK_Main:TO92_Flat_P2p54,8.96,8.25,0.0,Bottom,THT/mixed,https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf,"Horizontal TO-92, flat marked face up; formed 2.54mm lead spacing. Check actual device pinout; no pin swaps."
Q2,KSP2222ABU,KSP2222ABU,KK_Main:TO92_Flat_P2p54,2.96,65.25,0.0,Bottom,THT/mixed,https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf,"Horizontal TO-92, flat marked face up; formed 2.54mm lead spacing. Check actual device pinout; no pin swaps."
Q3,BC32725BU,BC32725BU,KK_Main:TO92_Flat_P2p54,32.96,76.25,0.0,Bottom,THT/mixed,https://www.onsemi.com/pub/Collateral/BC327-D.PDF,"Horizontal TO-92, flat marked face up; formed 2.54mm lead spacing. Check actual device pinout; no pin swaps."
Q4,TN0702N3-G,TN0702N3-G,KK_Main:TO92_Flat_P2p54,13.75,90.46,-90.0,Bottom,THT/mixed,https://ww1.microchip.com/downloads/en/DeviceDoc/TN0702-N-Channel-Enhancement-Mode-Vertical-DMOS-FET-Data-Sheet-20005941A.pdf,"Horizontal TO-92, flat marked face up; formed 2.54mm lead spacing. Check actual device pinout; no pin swaps."
Q5,TN0702N3-G,TN0702N3-G,KK_Main:TO92_Flat_P2p54,64.96,39.75,0.0,Bottom,THT/mixed,https://ww1.microchip.com/downloads/en/DeviceDoc/TN0702-N-Channel-Enhancement-Mode-Vertical-DMOS-FET-Data-Sheet-20005941A.pdf,"Horizontal TO-92, flat marked face up; formed 2.54mm lead spacing. Check actual device pinout; no pin swaps."
Q6,LP0701N3-G,LP0701N3-G,KK_Main:TO92_Flat_P2p54,37.04,35.75,180.0,Bottom,THT/mixed,https://ww1.microchip.com/downloads/en/DeviceDoc/LP0701-P-Channel-Enhancement-Mode-Lateral-MOSFET-Data-Sheet-20005447A.pdf,"Horizontal TO-92, flat marked face up; formed 2.54mm lead spacing. Check actual device pinout; no pin swaps."
R1,4.7k,MFR-25FBF52-4K7,KK_Main:MFR25_10p16,36.0,24.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R10,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,77.0,86.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R11,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,4.0,60.58,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R12,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,4.0,37.42,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R13,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,19.92,86.5,0.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R14,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,69.08,23.0,180.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R15,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,60.0,20.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R16,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,17.0,86.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R17,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,81.58,34.5,180.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R18,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,84.5,24.42,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R19,4.7k,MFR-25FBF52-4K7,KK_Main:MFR25_10p16,14.08,77.0,180.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R2,4.7k,MFR-25FBF52-4K7,KK_Main:MFR25_10p16,3.92,80.5,0.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R20,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,3.92,84.0,0.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R21,220,MFR-25FBF52-220R,KK_Main:MFR25_10p16,78.58,93.5,180.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R22,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,80.5,75.92,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R23,100,MFR-25FBF52-100R,KK_Main:MFR25_10p16,87.08,63.0,180.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R24,100,MFR-25FBF52-100R,KK_Main:MFR25_10p16,5.5,18.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R25,1k,MFR-25FBF52-1K,KK_Main:MFR25_10p16,10.0,30.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R26,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,6.5,20.92,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R27,100,MFR-25FBF52-100R,KK_Main:MFR25_10p16,26.0,20.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R28,100,MFR-25FBF52-100R,KK_Main:MFR25_10p16,70.92,89.0,0.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R29,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,81.5,91.92,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R3,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,88.0,34.58,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R30,1k,MFR-25FBF52-1K,KK_Main:MFR25_10p16,59.5,25.92,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R31,1k,MFR-25FBF52-1K,KK_Main:MFR25_10p16,61.5,51.42,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R32,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,48.0,64.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R33,1k,MFR-25FBF52-1K,KK_Main:MFR25_10p16,51.5,53.92,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R34,4.7,MFR-25FBF52-4R7,KK_Main:MFR25_10p16,44.0,59.42,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R35,4.7,MFR-25FBF52-4R7,KK_Main:MFR25_10p16,40.42,36.0,0.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R36,1k,MFR-25FBF52-1K,KK_Main:MFR25_10p16,65.0,26.42,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R37,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,68.5,36.58,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R38,1k,MFR-25FBF52-1K,KK_Main:MFR25_10p16,39.92,32.5,0.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R39,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,32.0,53.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R4,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,84.0,86.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R40,1.8k,MFR-25FBF52-1K8,KK_Main:MFR25_10p16,79.08,5.5,180.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R41,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,74.0,30.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R42,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,91.5,17.42,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R43,100k,MFR-25FBF52-100K,KK_Main:MFR25_10p16,91.5,56.42,-90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R5,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,88.0,76.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R6,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,85.0,99.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R7,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,88.5,89.08,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R8,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,92.0,79.58,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
R9,10k,MFR-25FBF52-10K,KK_Main:MFR25_10p16,92.0,92.58,90.0,Bottom,THT/mixed,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,Horizontal axial body; 10.16mm pitch. No upright resistors.
SW1,UP,Adafruit 3101,KK_Main:Adafruit3101_ABCD,26.0,60.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW2,DOWN,Adafruit 3101,KK_Main:Adafruit3101_ABCD,26.0,80.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW3,LEFT,Adafruit 3101,KK_Main:Adafruit3101_ABCD,15.0,70.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW4,RIGHT,Adafruit 3101,KK_Main:Adafruit3101_ABCD,37.0,70.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW5,A,Adafruit 3101,KK_Main:Adafruit3101_ABCD,81.0,70.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW6,B,Adafruit 3101,KK_Main:Adafruit3101_ABCD,70.0,80.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW7,X,Adafruit 3101,KK_Main:Adafruit3101_ABCD,70.0,60.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW8,Y,Adafruit 3101,KK_Main:Adafruit3101_ABCD,59.0,70.0,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
SW9,FN,Adafruit 3101,KK_Main:Adafruit3101_ABCD,48.0,81.5,0.0,Top,THT/mixed,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png,200 ohm maximum closed contact resistance; custom footprint included; verify delivered switch fit and A/B versus C/D continuity
U1,MCP23017-E/SP,MCP23017-E/SP,KK_Main:ED281DT_DIP28_Socket,13.69,53.51,0.0,Bottom,THT/mixed,https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf,
U2,TSOP38238,TSOP38238,KK_Main:TSOP38238_Vertical,25.45,6.5,0.0,Bottom,THT/mixed,https://www.vishay.com/docs/82491/tsop382.pdf,
U3,TDA2822L-D08-T,TDA2822L-D08-T,KK_Main:ED08DT_DIP8_Socket,44.19,50.81,0.0,Bottom,THT/mixed,https://datasheet.lcsc.com/datasheet/pdf/8599ab4088134d37b4be13f0dc390034.pdf,
U4,TLC5916IN,TLC5916IN,KK_Main:ED16DT_DIP16_Socket,81.89,16.81,90.0,Bottom,THT/mixed,https://www.ti.com/lit/ds/symlink/tlc5916.pdf,"C.6: 3.3 V logic, 5 V common-anode LED. OE high until zero data is latched."
