Reference,Pad,CAD X mm,CAD Y mm (down-positive),Drill mm,Process
R1,2,15.5,11.1,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R10,1,34.6,14.1,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R14,2,37.8,5.7,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R2,1,14.3,9.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R52,1,22.6,37.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R62,2,37.599999,30.999999,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R66,2,37.325,29.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R70,1,19.2,11.4,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
R74,2,35.0,2.3,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U1,12,29.4,6.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U1,17,27.6,7.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U1,17,28.4,7.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U11,4,43.6,36.7,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,40.4,30.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,40.4,31.4,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,41.6,30.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,,41.6,31.4,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,40.4,30.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,40.4,31.4,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,41.6,30.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U12,21,41.6,31.4,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U14,3,18.4,8.1,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U2,2,7.0,31.3,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U4,9,36.0,11.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U5,11,7.6,23.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U5,11,8.4,23.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U5,3,6.6,23.1,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U6,11,22.6,23.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U6,11,23.4,23.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U6,3,21.4,23.1,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U7,11,37.6,23.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U7,11,38.4,23.0,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U8,2,20.999999,32.899999,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U9,1,25.9,32.1,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
U9,5,28.2,33.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
