"bom_id","function","exact_part_or_requirement","documentation_status","local_documents","source_urls","remaining_issue"
"B017","AUDIO_SOCKET","ED08DT","DOCUMENT_FOUND","datasheets/dip-sockets.pdf","https://www.on-shore.com/wp-content/uploads/EDXXXDT-1.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B018","DISPLAY_SOCKET","PPTC081LFBN-RC","DOCUMENT_FOUND","datasheets/sullins-female-headers.pdf; datasheets/sullins-order-codes.pdf","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf; https://www.sullinscorp.com/images/AllRoHSParts.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B019","ACTUATOR_CONNECTOR","S2B-PH-K-S(LF)(SN)","DOCUMENT_FOUND","datasheets/jst-ph.pdf","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B020","ACTUATOR_HOUSING","PHR-2","DOCUMENT_FOUND","datasheets/jst-ph.pdf","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B021","MOTOR_CONTACT","SPH-004T-P0.5S","DOCUMENT_FOUND","datasheets/jst-ph.pdf","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B028","RESISTOR","MFR-25FBF52-4R7","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B029","RESISTOR","MFR-25FBF52-39R","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B030","RESISTOR","MFR-25FBF52-100R","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B031","RESISTOR","MFR-25FBF52-220R","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B032","RESISTOR","MFR-25FBF52-680R","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B033","RESISTOR","MFR-25FBF52-1K","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B034","RESISTOR","MFR-25FBF52-4K7","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B035","RESISTOR","MFR-25FBF52-10K","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B036","RESISTOR","MFR-25FBF52-100K","DOCUMENT_FOUND","datasheets/mfr-resistors.pdf","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B037","CAPACITOR","C315C104K5R5TA","DOCUMENT_FOUND","datasheets/kemet-100nf.pdf","https://yageogroup.com/download/specsheet/C315C104K5R5TA","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B038","CAPACITOR","C315C103J1G5TA","DOCUMENT_FOUND","datasheets/kemet-10nf.pdf","https://yageogroup.com/download/specsheet/C315C103J1G5TA","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B039","CAPACITOR","C315C105K5R5TA","DOCUMENT_FOUND","datasheets/kemet-1uf.pdf","https://yageogroup.com/download/specsheet/C315C105K5R5TA","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B040","CAPACITOR","UVR1C100MDD","DOCUMENT_FOUND","datasheets/nichicon-uvr.pdf","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B041","CAPACITOR","UVR1C101MDD","DOCUMENT_FOUND","datasheets/nichicon-uvr.pdf","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B042","SD_MODULE","Amazon B0F82XWT4F","PARTIAL_MODULE","source_evidence/sd-pinout.jpg; source_evidence/sd-dimensions.jpg","https://m.media-amazon.com/images/I/61qrQGhmcEL._AC_SL1500_.jpg; https://m.media-amazon.com/images/I/612fmkYugOL._AC_SL1500_.jpg","Exact seller photos document 3V3 and pin labels; no controlled module datasheet recovered."
"B043","SD_SOCKET","PPTC061LFBN-RC","DOCUMENT_FOUND","datasheets/sullins-female-headers.pdf; datasheets/sullins-order-codes.pdf","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf; https://www.sullinscorp.com/images/AllRoHSParts.pdf","Manufacturer component/series document archived; circuit quantity and assembly fit are separate checks."
"B044","SD_HEADER","Six-pin male strip pictured with B0F82XWT4F","BUNDLED_NO_MPN","","","Supplier-pictured accessory, not separately identified by manufacturer part number."
"B055","BACKLIGHT_DRIVER","Backlight control and default-off network","DESIGN_PENDING","","","Individual component/MPN or circuit quantity not yet specified; no exact-part datasheet to retrieve."
"B056","AUDIO_NETWORK","PWM filter / attenuation / coupling / bridge stability","DESIGN_PENDING","","","Individual component/MPN or circuit quantity not yet specified; no exact-part datasheet to retrieve."
"B057","AUDIO_GATE","Amplifier supply gating network","DESIGN_PENDING","","","Individual component/MPN or circuit quantity not yet specified; no exact-part datasheet to retrieve."
"B058","MOTOR_NETWORK","Motor drive / suppression","DESIGN_PENDING","","","Individual component/MPN or circuit quantity not yet specified; no exact-part datasheet to retrieve."
"B059","SPEAKER_CONTACT","Speaker harness crimp contacts","PART_NOT_SELECTED","","","Exact card/contact/connector/harness not yet selected; cannot attach an unrelated datasheet as if final."
"B063","MAIN_PCB","KK main-board custom PCB","CUSTOM_DESIGN","","","Custom layout, mounting or test-access item; dimensions/design must be created before hardware can be specified."
"B064","TEST_ACCESS","PCB test pads and optional service header","CUSTOM_DESIGN","","","Custom layout, mounting or test-access item; dimensions/design must be created before hardware can be specified."
"B068","SCREEN_RETENTION","Display retention hardware / spacers","CUSTOM_DESIGN","","","Custom layout, mounting or test-access item; dimensions/design must be created before hardware can be specified."
"B069","PCB_HARDWARE","PCB spacers and fasteners","CUSTOM_DESIGN","","","Custom layout, mounting or test-access item; dimensions/design must be created before hardware can be specified."
"B071","ACTUATOR_MOUNT","Speaker gasket and motor retention","CUSTOM_DESIGN","","","Custom layout, mounting or test-access item; dimensions/design must be created before hardware can be specified."
"B078","MICROSD","microSD card; exact brand/capacity pending","PART_NOT_SELECTED","","","Exact card/contact/connector/harness not yet selected; cannot attach an unrelated datasheet as if final."
"B080","SYS_IN_CONNECTOR","Keyed THT regulated-power input connector","PART_NOT_SELECTED","","","Exact card/contact/connector/harness not yet selected; cannot attach an unrelated datasheet as if final."
"B081","SYS_IN_HARNESS","Power-board to main-board harness and mating contacts","PART_NOT_SELECTED","","","Exact card/contact/connector/harness not yet selected; cannot attach an unrelated datasheet as if final."
"B082","MAIN_RAIL_INTERFACE","Main-board rail distribution / local bypass capacitors","DESIGN_PENDING","","","Individual component/MPN or circuit quantity not yet specified; no exact-part datasheet to retrieve."
"B083","SD_SUPPORT","SD supply bypass / bus pull-ups / optional series resistors","DESIGN_PENDING","","","Individual component/MPN or circuit quantity not yet specified; no exact-part datasheet to retrieve."
"B084","SD_RETENTION","Reader support and display clearance / insulation","CUSTOM_DESIGN","","","Custom layout, mounting or test-access item; dimensions/design must be created before hardware can be specified."
