"Reference","Page","Value","MPN","Datasheet","Footprint","Review"
"SW7","controls","X","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"SW8","controls","Y","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"SW9","controls","FN","Adafruit 3101","https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png","","200 ohm maximum closed contact resistance; custom footprint pending"
"R1","controls","4.7k","MFR-25FBF52-4K7","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2","controls","4.7k","MFR-25FBF52-4K7","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R4","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C7","controls","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"C8","controls","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"C9","controls","10u","UVR1C100MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"R5","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R6","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R7","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R8","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R9","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R10","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R11","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R12","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R13","controls","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"J2","display_sd","XIITIA TFT header","PPTC081LFBN-RC","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf","","Display module B0DFWL25RB is a separate assembly item"
"J3","display_sd","GODIYMODULES SD","PPTC061LFBN-RC","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf","","SD module B0F82XWT4F is a separate assembly item"
"Q2","display_sd","KSP2222ABU","KSP2222ABU","https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf","",""
"Q3","display_sd","BC32725BU","BC32725BU","https://www.onsemi.com/pub/Collateral/BC327-D.PDF","",""
"R14","display_sd","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R15","display_sd","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R16","display_sd","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R17","display_sd","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R18","display_sd","10k","MFR-25FBF52-10K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C10","display_sd","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"C11","display_sd","10u","UVR1C100MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"C12","display_sd","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"C13","display_sd","100u","UVR1C101MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"R19","display_sd","4.7k","MFR-25FBF52-4K7","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R20","display_sd","100k","MFR-25FBF52-100K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R21","display_sd","220","MFR-25FBF52-220R","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R22","display_sd","100k","MFR-25FBF52-100K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R23","display_sd","100","MFR-25FBF52-100R","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Bring-up current limit; bright-screen qualification required"
"D1","ir_motor","TSAL6200","TSAL6200","https://www.vishay.com/docs/81010/tsal6200.pdf","LED_THT:LED_D5.0mm",""
"Q1","ir_motor","KSP2222ABU","KSP2222ABU","https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf","",""
"U2","ir_motor","TSOP38238","TSOP38238","https://www.vishay.com/docs/82491/tsop382.pdf","",""
"Q4","ir_motor","TN0702N3-G","TN0702N3-G","https://ww1.microchip.com/downloads/en/DeviceDoc/TN0702-N-Channel-Enhancement-Mode-Vertical-DMOS-FET-Data-Sheet-20005941A.pdf","",""
"J4","ir_motor","LCM0827A3038F motor","S2B-PH-K-S(LF)(SN)","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","",""
"D2","ir_motor","1N5819","1N5819-E3/54","https://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"R24","ir_motor","100","MFR-25FBF52-100R","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R25","ir_motor","1k","MFR-25FBF52-1K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R26","ir_motor","100k","MFR-25FBF52-100K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R27","ir_motor","100","MFR-25FBF52-100R","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C14","ir_motor","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"C15","ir_motor","10u","UVR1C100MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"R28","ir_motor","100","MFR-25FBF52-100R","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R29","ir_motor","100k","MFR-25FBF52-100K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C16","ir_motor","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","","Suppression physically close to motor leads"
"C17","ir_motor","100u","UVR1C101MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"U3","audio","TDA2822L-D08-T","TDA2822L-D08-T","https://datasheet.lcsc.com/datasheet/pdf/8599ab4088134d37b4be13f0dc390034.pdf","Package_DIP:DIP-8_W7.62mm",""
"J5","audio","8 ohm speaker","S2B-PH-K-S(LF)(SN)","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","",""
"Q5","audio","KSP2222ABU","KSP2222ABU","https://www.onsemi.com/pdf/datasheet/ksp2222a-d.pdf","",""
"Q6","audio","BC32725BU","BC32725BU","https://www.onsemi.com/pub/Collateral/BC327-D.PDF","",""
"R30","audio","1k","MFR-25FBF52-1K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C18","audio","10n","C315C103J1G5TA","https://yageogroup.com/download/specsheet/C315C103J1G5TA","",""
"R31","audio","1k","MFR-25FBF52-1K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C19","audio","10n","C315C103J1G5TA","https://yageogroup.com/download/specsheet/C315C103J1G5TA","",""
"C20","audio","1u","C315C105K5R5TA","https://yageogroup.com/download/specsheet/C315C105K5R5TA","",""
"R32","audio","100k","MFR-25FBF52-100K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R33","audio","1k","MFR-25FBF52-1K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Conservative fixed attenuation; prototype gain check"
"C21","audio","10u","UVR1C100MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"C22","audio","10n","C315C103J1G5TA","https://yageogroup.com/download/specsheet/C315C103J1G5TA","",""
"C23","audio","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"R34","audio","4.7","MFR-25FBF52-4R7","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C24","audio","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"R35","audio","4.7","MFR-25FBF52-4R7","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"C25","audio","100u","UVR1C101MDD","https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-uvr.pdf","",""
"C26","audio","100n","C315C104K5R5TA","https://yageogroup.com/download/specsheet/C315C104K5R5TA","",""
"R36","audio","4.7k","MFR-25FBF52-4K7","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R37","audio","100k","MFR-25FBF52-100K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R38","audio","100","MFR-25FBF52-100R","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R39","audio","100k","MFR-25FBF52-100K","https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
