"Reference","MPN","Footprint","Status","Source","Evidence","Assembly note"
"R17","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R18","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R14","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R16","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R15","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"C10","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C11","UVR1C100MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"C12","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C13","UVR1C101MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"Q3","BC32725BU","KK_Main:TO92_LeadFormed_P2p54","DATASHEET_DIMENSIONS_CHECKED","Package_TO_SOT_THT/TO-92_Inline_Wide","onsemi KSP2222ABU / BC32725BU and Microchip TN0702N3-G / LP0701N3-G package drawings","WIDE footprint requires spreading native 1.27 mm leads to 2.54 mm using a jig; flat face follows F.Fab. Pins 1-2-3: KSP E-B-C; BC327 C-B-E; TN0702 and LP0701 S-G-D."
"Q2","KSP2222ABU","KK_Main:TO92_LeadFormed_P2p54","DATASHEET_DIMENSIONS_CHECKED","Package_TO_SOT_THT/TO-92_Inline_Wide","onsemi KSP2222ABU / BC32725BU and Microchip TN0702N3-G / LP0701N3-G package drawings","WIDE footprint requires spreading native 1.27 mm leads to 2.54 mm using a jig; flat face follows F.Fab. Pins 1-2-3: KSP E-B-C; BC327 C-B-E; TN0702 and LP0701 S-G-D."
"R19","MFR-25FBF52-4K7","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R20","MFR-25FBF52-100K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R21","MFR-25FBF52-220R","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R22","MFR-25FBF52-100K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R23","MFR-25FBF52-100R","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"U1","MCP23017-E/SP","KK_Main:ED281DT_DIP28_Socket","DATASHEET_DIMENSIONS_CHECKED","Package_DIP/DIP-28_W7.62mm_Socket_LongPads","Microchip SPDIP28 plus On Shore ED281DT socket: 7.62 mm rows, 2.54 mm pitch","Narrow socket, not wide ED28DT."
"R2","MFR-25FBF52-4K7","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R1","MFR-25FBF52-4K7","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R3","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R4","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"C7","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C8","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C9","UVR1C100MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"SW1","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R5","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW2","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R6","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW3","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R7","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW4","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R8","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW5","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R9","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW6","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R10","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW7","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R11","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW8","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R12","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"SW9","Adafruit 3101","KK_Main:Adafruit3101_ABCD","DATASHEET_DIMENSIONS_CHECKED","custom","Adafruit linked C4817-001 drawing: 8 x 4.5 mm hole centers, 4 x 1 mm holes, A/B upper pair C/D lower pair, body 7.8 mm, lead envelope 9.4 mm","Project-local drawing. See footprint audit for prototype holds."
"R13","MFR-25FBF52-10K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"Q1","KSP2222ABU","KK_Main:TO92_LeadFormed_P2p54","DATASHEET_DIMENSIONS_CHECKED","Package_TO_SOT_THT/TO-92_Inline_Wide","onsemi KSP2222ABU / BC32725BU and Microchip TN0702N3-G / LP0701N3-G package drawings","WIDE footprint requires spreading native 1.27 mm leads to 2.54 mm using a jig; flat face follows F.Fab. Pins 1-2-3: KSP E-B-C; BC327 C-B-E; TN0702 and LP0701 S-G-D."
"R25","MFR-25FBF52-1K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R26","MFR-25FBF52-100K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"D1","TSAL6200","KK_Main:TSAL6200_LED5","DATASHEET_DIMENSIONS_CHECKED","LED_THT/LED_D5.0mm","Vishay TSAL6200: 5 mm LED body, 2.54 mm pitch. Pin1 cathode, pin2 anode.",""
"R24","MFR-25FBF52-100R","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"U2","TSOP38238","KK_Main:TSOP38238_Vertical","DATASHEET_DIMENSIONS_CHECKED","custom","Vishay TSOP382 package drawing: 2.54 mm lead spacing, OUT-GND-VS order when facing lens; body 5 x 4.8 mm. Lens faces +Y","Project-local drawing. See footprint audit for prototype holds."
"R27","MFR-25FBF52-100R","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"C14","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C15","UVR1C100MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"Q4","TN0702N3-G","KK_Main:TO92_LeadFormed_P2p54","DATASHEET_DIMENSIONS_CHECKED","Package_TO_SOT_THT/TO-92_Inline_Wide","onsemi KSP2222ABU / BC32725BU and Microchip TN0702N3-G / LP0701N3-G package drawings","WIDE footprint requires spreading native 1.27 mm leads to 2.54 mm using a jig; flat face follows F.Fab. Pins 1-2-3: KSP E-B-C; BC327 C-B-E; TN0702 and LP0701 S-G-D."
"R28","MFR-25FBF52-100R","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R29","MFR-25FBF52-100K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"J4","S2B-PH-K-S(LF)(SN)","KK_Main:JST_PH_S2B_2","DATASHEET_DIMENSIONS_CHECKED","Connector_JST/JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","JST S2B-PH-K-S(LF)(SN) ePH drawing: right-angle two-pin, 2.00 mm pitch",""
"D2","1N5819-E3/54","KK_Main:1N5819_DO41","DATASHEET_DIMENSIONS_CHECKED","Diode_THT/D_DO-41_SOD81_P10.16mm_Horizontal","Vishay 1N5819-E3/54 DO-41 axial body; 10.16 mm formed lead pitch. Pin1 cathode band.",""
"C16","C315C104K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C17","UVR1C101MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"R30","MFR-25FBF52-1K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"C18","C315C103J1G5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"R31","MFR-25FBF52-1K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"C19","C315C103J1G5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"C20","C315C105K5R5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
"R32","MFR-25FBF52-100K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"R33","MFR-25FBF52-1K","KK_Main:MFR25_10p16","DATASHEET_DIMENSIONS_CHECKED","Resistor_THT/R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Yageo MFR-25: body 6.3+/-0.5 x 2.4+/-0.2 mm; wire 0.55+/-0.05 mm","Form axial leads to 10.16 mm pitch; do not seat body under mechanical stress."
"U3","TDA2822L-D08-T","KK_Main:ED08DT_DIP8_Socket","DATASHEET_DIMENSIONS_CHECKED","Package_DIP/DIP-8_W7.62mm_Socket_LongPads","UTC DIP8 plus On Shore ED08DT socket: 7.62 mm rows, 2.54 mm pitch",""
"J5","S2B-PH-K-S(LF)(SN)","KK_Main:JST_PH_S2B_2","DATASHEET_DIMENSIONS_CHECKED","Connector_JST/JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","JST S2B-PH-K-S(LF)(SN) ePH drawing: right-angle two-pin, 2.00 mm pitch",""
"C21","UVR1C100MDD","KK_Main:Nichicon_UVR_D5_P2","DATASHEET_DIMENSIONS_CHECKED","Capacitor_THT/CP_Radial_D5.0mm_P2.00mm","Nichicon UVR1C100MDD / UVR1C101MDD: 5 mm diameter, 11 mm height, 2 mm lead pitch","Both values use the same diameter/pitch; keep the 11 mm body outside the under-screen volume."
"C22","C315C103J1G5TA","KK_Main:KEMET_C315_P2p54","DATASHEET_DIMENSIONS_CHECKED","custom","KEMET exact C315C104K5R5TA / C315C103J1G5TA / C315C105K5R5TA sheets: 3.81 x 2.54 mm max body, 2.54 mm pitch, wire <=0.61 mm","Project-local drawing. See footprint audit for prototype holds."
