Reference,Value,MPN,Footprint,X mm,Y mm,Rotation deg,Native PCB side
C41,10u,GRM21BR61C106KE15L,KK_Power:C_0805_2012Metric,33.75,20.0,180.0,Top
C42,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,41.4,20.5,90.0,Top
C43,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,43.6,20.5,90.0,Top
C44,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,45.8,20.5,90.0,Top
C45,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,38.0,26.5,180.0,Top
C48,10p,GRM1885C1H100JA01D,KK_Power:C_0603_1608Metric,41.5,25.0,-90.0,Top
C5,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,31.5,7.0,90.0,Top
C51,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,27.0,36.0,0.0,Top
C52,10n,GRM188R71H103KA01D,KK_Power:C_0603_1608Metric,27.0,37.75,0.0,Top
C53,10n,GRM188R71H103KA01D,KK_Power:C_0603_1608Metric,24.5,36.5,90.0,Top
C54,10n,GRM188R71H103KA01D,KK_Power:C_0603_1608Metric,29.5,36.5,90.0,Top
C6,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,12.0,32.75,0.0,Top
C60,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,44.75,30.0,90.0,Top
C7,10n,GRM188R71H103KA01D,KK_Power:C_0603_1608Metric,33.5,10.0,90.0,Top
C70,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,22.5,10.5,90.0,Top
C71,1u,GRM188R71C105KA12D,KK_Power:C_0603_1608Metric,25.0,11.25,0.0,Top
C72,1u,GRM188R71C105KA12D,KK_Power:C_0603_1608Metric,20.0,9.75,0.0,Top
C8,22u,GRM21BR61C226ME44L,KK_Power:C_0805_2012Metric,38.75,10.25,90.0,Top
C9,100n,GRM188R71C104KA01D,KK_Power:C_0603_1608Metric,32.75,12.5,0.0,Top
D1,SMAJ5.0A,SMAJ5.0A,KK_Power:D_SMA,3.75,11.0,90.0,Top
F1,4A FAST,0451004.MRL,KK_Power:Fuse_1206_3216Metric,12.75,30.5,0.0,Top
J1,USB-C CHARGE ONLY,HC-TYPE-C-16P-01A,KK_Power:USB_C_HCTL,12.0,3.34,180.0,Top
J2,1S CELL / VH,B2P-VH(LF)(SN),KK_Power:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,12.48,43.05,180.0,Top
J3,C.5 SYS_IN / XH,B4B-XH-A(LF)(SN),KK_Power:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,39.25,44.525,180.0,Top
J4,BATTERY NTC,B2B-PH-K-S(LF)(SN),KK_Power:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,23.0,44.55,180.0,Top
L1,1uH,XFL4020-102MEC,KK_Power:L_Coilcraft_XxL4020,8.0,18.25,0.0,Top
L2,1uH,XFL4020-102MEC,KK_Power:L_Coilcraft_XxL4020,23.0,18.25,0.0,Top
L3,1uH,XFL4020-102MEC,KK_Power:L_Coilcraft_XxL4020,38.0,18.25,0.0,Top
LED1,POWER GOOD,APT3216LZGCK,KK_Power:LED_1206_3216Metric,34.0,5.75,90.0,Top
LED2,CHARGING,APT3216SURCK,KK_Power:LED_1206_3216Metric,24.75,13.5,0.0,Top
Q1,FS8205,FS8205,KK_Power:FS8205,5.5,35.5,0.0,Top
Q2,FS8205,FS8205,KK_Power:FS8205,10.5,35.5,0.0,Top
Q3,FS8205,FS8205,KK_Power:FS8205,15.5,35.5,0.0,Top
Q4,AO3400A,AO3400A,KK_Power:SOT-23,7.5,11.0,90.0,Top
Q5,AO3400A,AO3400A,KK_Power:SOT-23,40.5,3.75,90.0,Top
R1,887k,RC0603FR07887KL,KK_Power:R_0603_1608Metric,15.0,11.0,0.0,Top
R10,182k,RT0603BRD07182KL,KK_Power:R_0603_1608Metric,35.5,14.25,0.0,Top
R11,100k,RT0603BRD07100KL,KK_Power:R_0603_1608Metric,36.75,8.0,90.0,Top
R12,620,RC0603FR07620RL,KK_Power:R_0603_1608Metric,39.25,7.5,0.0,Top
R13,100k,RC0603FR07100KL,KK_Power:R_0603_1608Metric,32.25,14.25,0.0,Top
R14,10k,RC0603FR0710KL,KK_Power:R_0603_1608Metric,37.0,5.5,0.0,Top
R2,4.7k,RC0603FR074K7L,KK_Power:R_0603_1608Metric,15.0,9.25,0.0,Top
R20,909k,RT0603BRD07909KL,KK_Power:R_0603_1608Metric,13.3,25.0,90.0,Top
R21,101k,RT0603BRD07101KL,KK_Power:R_0603_1608Metric,15.1,25.0,-90.0,Top
R3,10k,RC0603FR0710KL,KK_Power:R_0603_1608Metric,15.0,12.75,0.0,Top
R30,560k,RT0603BRD07560KL,KK_Power:R_0603_1608Metric,28.3,25.0,90.0,Top
R31,100k,RT0603BRD07100KL,KK_Power:R_0603_1608Metric,30.1,25.0,-90.0,Top
R4,2.94k,RT0603BRD072K94L,KK_Power:R_0603_1608Metric,29.0,10.25,0.0,Top
R40,270k,RT0603BRD07270KL,KK_Power:R_0603_1608Metric,43.3,25.0,90.0,Top
R41,100k,RT0603BRD07100KL,KK_Power:R_0603_1608Metric,45.1,25.0,-90.0,Top
R43,270k,RT0603BRD07270KL,KK_Power:R_0603_1608Metric,46.5,27.5,0.0,Top
R5,1.3k,RC0603FR071K3L,KK_Power:R_0603_1608Metric,29.0,12.0,0.0,Top
R50,470k,RC0603FR07470KL,KK_Power:R_0603_1608Metric,27.0,39.5,0.0,Top
R51,100k,RC0603FR07100KL,KK_Power:R_0603_1608Metric,31.25,36.0,90.0,Top
R52,100,RC0603FR07100RL,KK_Power:R_0603_1608Metric,22.75,36.5,90.0,Top
R53,100,RC0603FR07100RL,KK_Power:R_0603_1608Metric,23.75,39.0,0.0,Top
R54,100,RC0603FR07100RL,KK_Power:R_0603_1608Metric,30.25,39.0,0.0,Top
R6,4.7k,RC0603FR074K7L,KK_Power:R_0603_1608Metric,29.0,13.75,0.0,Top
R60,10k,RC0603FR0710KL,KK_Power:R_0603_1608Metric,45.5,32.5,0.0,Top
R61,1060k,RT0603BRD071M06L,KK_Power:R_0603_1608Metric,39.0,34.5,0.0,Top
R62,100k,RT0603BRD07100KL,KK_Power:R_0603_1608Metric,37.25,32.0,90.0,Top
R63,665k,RT0603BRD07665KL,KK_Power:R_0603_1608Metric,46.5,30.0,90.0,Top
R64,100k,RT0603BRD07100KL,KK_Power:R_0603_1608Metric,39.0,36.25,0.0,Top
R65,649k,RT0603BRD07649KL,KK_Power:R_0603_1608Metric,46.25,35.0,90.0,Top
R66,100k,RT0603BRD07100KL,KK_Power:R_0603_1608Metric,36.5,29.5,0.0,Top
R7,4.7k,RC0603FR074K7L,KK_Power:R_0603_1608Metric,31.75,3.5,90.0,Top
R70,19.2k,RT0603BRD0719K2L,KK_Power:R_0603_1608Metric,20.0,11.5,0.0,Top
R71,634,RT0603BRD07634RL,KK_Power:R_0603_1608Metric,19.5,4.25,0.0,Top
R72,100k,RC0603FR07100KL,KK_Power:R_0603_1608Metric,20.5,13.25,0.0,Top
R73,100k,RC0603FR07100KL,KK_Power:R_0603_1608Metric,26.0,3.0,90.0,Top
R74,31.6k,RT0603BRD0731K6L,KK_Power:R_0603_1608Metric,34.25,2.25,0.0,Top
R75,20k,RT0603BRD0720KL,KK_Power:R_0603_1608Metric,36.75,3.0,90.0,Top
R8,470,RC0603FR07470RL,KK_Power:R_0603_1608Metric,15.25,32.75,0.0,Top
R9,1k,RC0603FR071KL,KK_Power:R_0603_1608Metric,16.25,30.25,90.0,Top
SW1,OFF / ON,JS102011SAQN,KK_Power:SW_SPDT_CK_JS102011SAQN,46.125,11.0,90.0,Top
U1,BQ24075TRGTR,BQ24075TRGTR,KK_Power:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,28.0,7.0,0.0,Top
U10,TPS22918DBVR,TPS22918DBVR,KK_Power:SOT-23-6,32.0,32.0,0.0,Top
U11,SN74AUP1G17DBVR,SN74AUP1G17DBVR,KK_Power:SOT-23-5,43.0,36.0,0.0,Top
U12,TPS386000RGPR,TPS386000RGPR,KK_Power:Texas_RGP0020D_VQFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,41.0,30.8,0.0,Top
U13,TPS22950YBHR,TPS22950YBHR,KK_Power:TPS22950_YBH,23.0,4.5,0.0,Top
U14,TLV75533PDBVR,TLV75533PDBVR,KK_Power:SOT-23-5,20.0,7.0,0.0,Top
U2,DW01A / H&M,DW01A,KK_Power:SOT-23-6,8.0,31.5,0.0,Top
U3,TUSB320LAIRWBR,TUSB320LAIRWBR,KK_Power:Texas_X2QFN-12_1.6x1.6mm_P0.4mm,11.0,11.0,0.0,Top
U4,TPS259530DSGR,TPS259530DSGR,KK_Power:Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,36.0,11.0,0.0,Top
U5,TPS63060DSCR,TPS63060DSCR,KK_Power:Texas_S-PWSON-N10,8.0,23.0,0.0,Top
U6,TPS63060DSCR,TPS63060DSCR,KK_Power:Texas_S-PWSON-N10,23.0,23.0,0.0,Top
U7,TPS63060DSCR,TPS63060DSCR,KK_Power:Texas_S-PWSON-N10,38.0,23.0,0.0,Top
U8,TPS22918DBVR,TPS22918DBVR,KK_Power:SOT-23-6,22.0,33.0,0.0,Top
U9,TPS22918DBVR,TPS22918DBVR,KK_Power:SOT-23-6,27.0,33.0,0.0,Top
