Quantity,References,MPN,Value,Footprint,Datasheet
1,Q3,BC32725BU,BC32725BU,KK_Main:TO92_LeadFormed_P2p54,https://www.onsemi.com/pub/Collateral/BC327-D.PDF
2,"Q4, Q5",TN0702N3-G,TN0702N3-G,KK_Main:TO92_LeadFormed_P2p54,https://ww1.microchip.com/downloads/en/DeviceDoc/TN0702-N-Channel-Enhancement-Mode-Vertical-DMOS-FET-Data-Sheet-20005941A.pdf
1,Q6,LP0701N3-G,LP0701N3-G,KK_Main:TO92_LeadFormed_P2p54,https://ww1.microchip.com/downloads/en/DeviceDoc/LP0701-P-Channel-Enhancement-Mode-Lateral-MOSFET-Data-Sheet-20005447A.pdf
3,"R1, R2, R19",MFR-25FBF52-4K7,4.7k,KK_Main:MFR25_10p16,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf
16,"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18",MFR-25FBF52-10K,10k,KK_Main:MFR25_10p16,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf
7,"R20, R22, R26, R29, R32, R37, R39",MFR-25FBF52-100K,100k,KK_Main:MFR25_10p16,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf
1,R21,MFR-25FBF52-220R,220,KK_Main:MFR25_10p16,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf
4,"R23, R24, R27, R28",MFR-25FBF52-100R,100,KK_Main:MFR25_10p16,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf
6,"R25, R30, R31, R33, R36, R38",MFR-25FBF52-1K,1k,KK_Main:MFR25_10p16,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf
2,"R34, R35",MFR-25FBF52-4R7,4.7,KK_Main:MFR25_10p16,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf
1,SW1,Adafruit 3101,UP,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW2,Adafruit 3101,DOWN,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW3,Adafruit 3101,LEFT,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW4,Adafruit 3101,RIGHT,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW5,Adafruit 3101,A,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW6,Adafruit 3101,B,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW7,Adafruit 3101,X,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW8,Adafruit 3101,Y,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,SW9,Adafruit 3101,FN,KK_Main:Adafruit3101_ABCD,https://cdn-shop.adafruit.com/product-files/3101/C4817-001+datasheet.png
1,U1,MCP23017-E/SP,MCP23017-E/SP,KK_Main:ED281DT_DIP28_Socket,https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf
1,U2,TSOP38238,TSOP38238,KK_Main:TSOP38238_Vertical,https://www.vishay.com/docs/82491/tsop382.pdf
1,U3,TDA2822L-D08-T,TDA2822L-D08-T,KK_Main:ED08DT_DIP8_Socket,https://datasheet.lcsc.com/datasheet/pdf/8599ab4088134d37b4be13f0dc390034.pdf
